Termo;Estimativa;Erro PadrÃ£o;EstatÃ­stica Z;p-valor;Exp(Estimativa);Porcentagem;Interpretação
(Intercept);3,695304386;0,585313211;6,313379434;2,73E-10;40,26;3926%;Não interpretável no contexto de sobrevivência
age;-0,018541938;0,005332521;-3,477143011;0,000506787;0,98;-2%;A idade mostrou-se significativamente associada à sobrevivência (p = 0,0005). O sinal negativo do coeficiente indica que pessoas mais velhas apresentam tempos de sobrevivência mais curtos e, portanto, menor probabilidade de sobreviver ao longo do tempo. A cada ano adicional de idade, o tempo de sobrevivência é multiplicado por 0,982, o que corresponde a uma redução média de aproximadamente 2% no tempo  esperado de sobrevivência.
industryIT;1,101257859;0,32311772;3,408224894;0,00065387;3,01;201%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de IT há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 200% no tempo de sobrevivência em relação a Agriculture
industrymanufacture;0,798825945;0,307566794;2,597243789;0,00939752;2,22;122%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de manufacture há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 122% no tempo de sobrevivência em relação a Agriculture
industryPharma;0,813523027;0,384963275;2,113248403;0,034579512;2,26;126%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de Pharma há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 125% no tempo de sobrevivência em relação a Agriculture
industryPowerGeneration;0,896900897;0,361611128;2,480291195;0,013127513;2,45;145%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de PowerGeneration há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 145% no tempo de sobrevivência em relação a Agriculture
industryRealEstate;1,56744693;0,486115253;3,22443478;0,001262216;4,79;379%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de manufacture há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 122% no tempo de sobrevivência em relação a Agriculture
industryRetail;0,949193933;0,295809976;3,208796215;0,001332919;2,58;158%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de Retail há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 158% no tempo de sobrevivência em relação a Agriculture
industryState;0,671555695;0,336744065;1,994261411;0,046123494;1,96;96%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de State há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 95% no tempo de sobrevivência em relação a Agriculture
industryTelecom;1,098472024;0,366046601;3,000907597;0,002691762;3,00;200%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de telecom há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 199% no tempo de sobrevivência em relação a Agriculture
industrytransport;0,75861525;0,354669757;2,138934137;0,032441003;2,14;114%;Como o sinal é positivo, então temos que a medida que o tempo aumenta, se o indíviduo estiver na cateogria de manufacture há um amento na probabilidade de sobrevivencia. Ao analisar a estimativa exponencializada, temos que a medida que o tempo passa há um aumento médio de cerca de 122% no tempo de sobrevivência em relação a Agriculture
professionCommercial;-0,826161415;0,418687522;-1,973217188;0,048470823;0,44;-56%;O sinal negativo indica que, em comparação com profissionais de Accounting, aqueles em Commercial têm tempos de sobrevivência mais curtos, portanto menor probabilidade de sobreviver a qualquer tempo tt e, consequentemente, maior risco. A redução no tempo de sobrevivência é de cerca de 56%.
professionmanage;-1,11650093;0,41708918;-2,676887779;0,007430952;0,33;-67%;O sinal negativo mostra que profissionais de gestão (manage) têm tempos de sobrevivência significativamente mais curtos do que os de Accounting. A probabilidade de sobrevivência é menor e o risco é maior. O tempo de sobrevivência é multiplicado por 0,33, ou seja, uma redução de aproximadamente 67%.
trafficempjs;-0,71817392;0,258483436;-2,778413698;0,005462502;0,49;-51%;Como o sinal é negativo, isso indica que Em relação aos indivíduos recrutados via ‘advert’ (categoria de referência), aqueles oriundos de ‘empjs’ apresentam tempos de sobrevivência significativamente mais curtos, portanto, menor probabilidade de sobreviver a qualquer tempo t, consequentemente, maior risco. Têm-se uma redução em cerca de 51% no tempo de sobrevivência. Uma redução de 51% no tempo é bastante expressiva, similar a algumas profissões que você analisou. Isso sugere que a fonte de tráfego é um preditor relevante para o tempo de sobrevivência.
greywagewhite;0,420845207;0,110936326;3,793574392;0,000148494;1,52;52%;Como o sinal é positivo, isso indica que em relação a indivíduos do 'dinheiro cinza' (informal) apresentam tempos de sobrevivência mais longos e, portanto, maior probabilidade de sobreviver a qualquer tempo t, consequentemente, menor risco. Têm-se um aumento em cerca de 52% no tempo de sobrevivência. vínculos formais tendem a ser mais longos
wayfoot;0,290150234;0,144468427;2,008398929;0,044600917;1,34;34%;Como o sinal é positivo, isso indica que em relação a indivíduos que vão de ônibus, apresentam tempos de sobrevivência mais longos e, portanto, maior probabilidade de sobreviver a qualquer tempo t, consequentemente, menor risco. Têm-se um aumento em cerca de 34% no tempo de sobrevivência
selfcontrol;0,056238002;0,018842225;2,98467951;0,002838756;1,06;6%;Cada aumento de uma unidade na escala de autocontrole está associado a um aumento de aproximadamente 6% no tempo de sobrevivência (p = 0,0028). O sinal positivo indica que pessoas com maior autocontrole têm maior probabilidade de sobreviver a qualquer tempo t, refletindo um menor risco de evento.
anxiety;0,048097026;0,021756482;2,210698683;0,02705671;1,05;5%;Como o sinal é positivo, indivíduos que tem maior indíce na escala de ansiedade apresentam tempos de sobrevivência mais longos e, portanto, maior probabilidade de sobreviver a qualquer tempo t, consequentemente, menor risco. Têm-se uma aumento em cerca de 5% no tempo de sobrevivência
Log(scale);-0,170986374;0,033140218;-5,159482513;2,48E-07;0,84;-16%;
